,csv_confirmed,csv_death,csv_recovered,date,diference
0,0,0,0,1/22/20,0
1,0,0,0,1/23/20,0
2,0,0,0,1/24/20,0
3,0,0,0,1/25/20,0
4,0,0,0,1/26/20,0
5,0,0,0,1/27/20,0
6,0,0,0,1/28/20,0
7,0,0,0,1/29/20,0
8,0,0,0,1/30/20,0
9,0,0,0,1/31/20,0
10,0,0,0,2/1/20,0
11,0,0,0,2/2/20,0
12,0,0,0,2/3/20,0
13,0,0,0,2/4/20,0
14,0,0,0,2/5/20,0
15,0,0,0,2/6/20,0
16,0,0,0,2/7/20,0
17,0,0,0,2/8/20,0
18,0,0,0,2/9/20,0
19,0,0,0,2/10/20,0
20,0,0,0,2/11/20,0
21,0,0,0,2/12/20,0
22,0,0,0,2/13/20,0
23,0,0,0,2/14/20,0
24,0,0,0,2/15/20,0
25,0,0,0,2/16/20,0
26,0,0,0,2/17/20,0
27,0,0,0,2/18/20,0
28,0,0,0,2/19/20,0
29,0,0,0,2/20/20,0
30,0,0,0,2/21/20,0
31,0,0,0,2/22/20,0
32,0,0,0,2/23/20,0
33,0,0,0,2/24/20,0
34,0,0,0,2/25/20,0
35,1,0,0,2/26/20,1
36,1,0,0,2/27/20,1
37,1,0,0,2/28/20,1
38,2,0,0,2/29/20,2
39,2,0,0,3/1/20,2
40,2,0,0,3/2/20,2
41,2,0,0,3/3/20,2
42,4,0,0,3/4/20,4
43,4,0,0,3/5/20,4
44,13,0,0,3/6/20,13
45,13,0,0,3/7/20,13
46,20,0,0,3/8/20,20
47,25,0,0,3/9/20,25
48,31,0,0,3/10/20,31
49,38,0,0,3/11/20,38
50,52,0,0,3/12/20,52
51,151,0,0,3/13/20,151
52,151,0,0,3/14/20,151
53,162,0,0,3/15/20,162
54,200,0,1,3/16/20,200
55,321,1,2,3/17/20,320
56,372,3,2,3/18/20,369
57,621,6,2,3/19/20,615
58,793,11,2,3/20/20,782
59,1021,15,2,3/21/20,1006
60,1546,25,2,3/22/20,1521
61,1924,34,2,3/23/20,1890
62,2247,46,2,3/24/20,2201
63,2554,59,2,3/25/20,2495
64,2985,77,6,3/26/20,2908
65,3417,92,6,3/27/20,3325
66,3904,111,6,3/28/20,3793
67,4256,136,6,3/29/20,4120
68,4579,159,120,3/30/20,4420
69,5717,201,127,3/31/20,5516
70,6836,240,127,4/1/20,6596
71,8044,324,127,4/2/20,7720
72,9056,359,127,4/3/20,8697
73,10360,445,127,4/4/20,9915
74,11130,486,127,4/5/20,10644
75,12161,564,127,4/6/20,11597
76,14034,686,127,4/7/20,13348
77,16170,819,127,4/8/20,15351
78,18092,950,173,4/9/20,17142
79,19638,1057,173,4/10/20,18581
80,20727,1124,173,4/11/20,19603
81,22192,1223,173,4/12/20,20969
82,23430,1328,173,4/13/20,22102
83,25262,1532,3046,4/14/20,23730
84,28320,1736,14026,4/15/20,26584
85,30425,1924,14026,4/16/20,28501
86,33682,2141,14026,4/17/20,31541
87,36658,2354,14026,4/18/20,34304
88,38654,2462,22130,4/19/20,36192
89,40743,2587,22130,4/20/20,38156
90,43079,2741,22991,4/21/20,40338
91,45757,2906,25318,4/22/20,42851
92,50036,3331,26573,4/23/20,46705
93,54043,3704,27655,4/24/20,50339
94,59324,4057,29160,4/25/20,55267
95,63100,4286,30152,4/26/20,58814
96,67446,4603,31142,4/27/20,62843
97,73235,5083,32544,4/28/20,68152
98,79685,5513,34132,4/29/20,74172
99,87187,6006,35935,4/30/20,81181
100,92202,6412,38039,5/1/20,85790
101,97100,6761,40937,5/2/20,90339
102,101826,7051,42991,5/3/20,94775
103,108620,7367,45815,5/4/20,101253
104,115455,7938,48221,5/5/20,107517
105,126611,8588,51370,5/6/20,118023
106,135773,9190,55350,5/7/20,126583
107,146894,10017,59297,5/8/20,136877
108,156061,10656,61685,5/9/20,145405
109,162699,11123,64957,5/10/20,151576
110,169594,11653,67384,5/11/20,157941
111,178214,12461,72597,5/12/20,165753
112,190137,13240,78424,5/13/20,176897
113,203165,13999,79479,5/14/20,189166
114,220291,14962,84970,5/15/20,205329
115,233511,15662,89672,5/16/20,217849
116,241080,16118,94122,5/17/20,224962
117,255368,16853,100459,5/18/20,238515
118,271885,17983,106794,5/19/20,253902
119,291579,18859,116683,5/20/20,272720
120,310087,20047,125960,5/21/20,290040
121,330890,21048,135430,5/22/20,309842
122,347398,22013,142587,5/23/20,325385
123,363211,22666,149911,5/24/20,340545
124,374898,23473,153833,5/25/20,351425
125,391222,24512,158593,5/26/20,366710
126,411821,25598,166647,5/27/20,386223
127,438238,26754,177604,5/28/20,411484
128,465166,27878,189476,5/29/20,437288
129,498440,28834,200892,5/30/20,469606
130,514849,29314,206555,5/31/20,485535
131,526447,29937,211080,6/1/20,496510
132,555383,31199,223638,6/2/20,524184
133,584016,32548,238617,6/3/20,551468
134,614941,34021,254963,6/4/20,580920
135,645771,35026,266940,6/5/20,610745
136,672846,35930,277149,6/6/20,636916
137,691758,36455,283952,6/7/20,655303
138,707412,37134,378257,6/8/20,670278
139,739503,38406,396737,6/9/20,701097
140,772416,39680,413916,6/10/20,732736
141,802828,40919,429965,6/11/20,761909
142,828810,41828,445123,6/12/20,786982
143,850514,42720,459436,6/13/20,807794
144,867624,43332,469141,6/14/20,824292
145,888271,43959,477709,6/15/20,844312
146,923189,45241,490005,6/16/20,877948
147,955377,46510,521046,6/17/20,908867
148,978142,47748,534580,6/18/20,930394
149,1032913,48954,551631,6/19/20,983959
150,1067579,49976,576779,6/20/20,1017603
151,1083341,50591,588118,6/21/20,1032750
152,1106470,51271,601736,6/22/20,1055199
153,1145906,52645,627963,6/23/20,1093261
154,1188631,53830,660469,6/24/20,1134801
155,1228114,54971,679524,6/25/20,1173143
156,1274974,55961,702399,6/26/20,1219013
157,1313667,57070,727715,6/27/20,1256597
158,1344143,57622,746018,6/28/20,1286521
159,1368195,58314,757811,6/29/20,1309881
160,1402041,59594,788318,6/30/20,1342447
161,1448753,60632,817642,7/1/20,1388121
162,1496858,61884,957692,7/2/20,1434974
163,1539081,63174,984615,7/3/20,1475907
164,1577004,64265,990731,7/4/20,1512739
165,1603055,64867,1029045,7/5/20,1538188
166,1623284,65487,1062542,7/6/20,1557797
167,1668589,66741,1107012,7/7/20,1601848
168,1713160,67964,1139844,7/8/20,1645196
169,1755779,69184,1171447,7/9/20,1686595
170,1800827,70398,1217361,7/10/20,1730429
171,1839850,71469,1244088,7/11/20,1768381
172,1864681,72100,1264843,7/12/20,1792581
173,1884967,72833,1291251,7/13/20,1812134
174,1926824,74133,1323425,7/14/20,1852691
175,1966748,75366,1350098,7/15/20,1891382
176,2012151,76688,1397531,7/16/20,1935463
177,2046328,77851,1428520,7/17/20,1968477
178,2074860,78772,1447408,7/18/20,1996088
179,2098389,79488,1459072,7/19/20,2018901
180,2118646,80120,1514300,7/20/20,2038526
181,2159654,81487,1555339,7/21/20,2078167
182,2227514,82771,1591975,7/22/20,2144743
183,2287475,84082,1620313,7/23/20,2203393
184,2343366,85238,1693214,7/24/20,2258128
185,2394513,86449,1785359,7/25/20,2308064
186,2419091,87004,1812913,7/26/20,2332087
187,2442375,87618,1846641,7/27/20,2354757
188,2483191,88539,1868749,7/28/20,2394652
189,2552265,90134,1922802,7/29/20,2462131
190,2610102,91263,1956807,7/30/20,2518839
191,2662485,92475,2008854,7/31/20,2570010
192,2707877,93563,2037982,8/1/20,2614314
193,2733677,94104,2062876,8/2/20,2639573
194,2750318,94665,2098976,8/3/20,2655653
195,2801921,95819,2157484,8/4/20,2706102
196,2859073,97256,2190361,8/5/20,2761817
197,2912212,98493,2230542,8/6/20,2813719
198,2962442,99572,2272299,8/7/20,2862870
199,3012412,100477,2321537,8/8/20,2911935
200,3035422,101049,2356983,8/9/20,2934373
201,3057470,101752,2390830,8/10/20,2955718
202,3109630,103026,2449338,8/11/20,3006604
203,3164785,104201,2506228,8/12/20,3060584
204,3224876,105463,2521100,8/13/20,3119413
205,3275520,106523,2616981,8/14/20,3168997
206,3317096,107232,2622878,8/15/20,3209864
207,3340197,107852,2655017,8/16/20,3232345
208,3359570,108536,2699080,8/17/20,3251034
209,3407354,109888,2751246,8/18/20,3297466
210,3456652,111100,2801931,8/19/20,3345552
211,3501975,112304,2844318,8/20/20,3389671
212,3532330,113358,2855558,8/21/20,3418972
213,3582362,114250,2913966,8/22/20,3468112
214,3605783,114744,2947784,8/23/20,3491039
215,3622861,115309,2976256,8/24/20,3507552
216,3669995,116580,3032551,8/25/20,3553415
217,3717156,117665,3082447,8/26/20,3599491
218,3761391,118649,3122846,8/27/20,3642742
219,3804803,119504,3158783,8/28/20,3685299
220,3846153,120262,3202185,8/29/20,3725891
221,3862311,120828,3237615,8/30/20,3741483
222,3908272,121381,3268591,8/31/20,3786891
223,3950931,122596,3345240,9/1/20,3828335
224,3997865,123780,3387309,9/2/20,3874085
225,4041638,124614,3429435,9/3/20,3917024
226,4091801,125502,3464278,9/4/20,3966299
227,4123000,126203,3498999,9/5/20,3996797
228,4137521,126650,3522155,9/6/20,4010871
229,4147794,126960,3549201,9/7/20,4020834
230,4162073,127464,3572421,9/8/20,4034609
231,4197889,128539,3611632,9/9/20,4069350
232,4238446,129522,3657701,9/10/20,4108924
233,4282164,130396,3695158,9/11/20,4151768
234,4315687,131210,3723206,9/12/20,4184477
235,4330455,131625,3723206,9/13/20,4198830
236,4345610,132006,3770138,9/14/20,4213604
237,4382263,133119,3811505,9/15/20,4249144
238,4419083,134106,3845464,9/16/20,4284977
239,4455386,134935,3873934,9/17/20,4320451
240,4495183,135793,3897539,9/18/20,4359390
241,4528240,136532,3936893,9/19/20,4391708
242,4544629,136895,3963446,9/20/20,4407734
243,4558040,137272,3993432,9/21/20,4420768
244,4591364,138105,4016831,9/22/20,4453259
245,4591364,138105,4046827,9/23/20,4453259
246,4657702,139808,4102954,9/24/20,4517894
247,4689613,140537,4128490,9/25/20,4549076
248,4717991,141406,4153307,9/26/20,4576585
249,4732309,141741,4172711,9/27/20,4590568
250,4745464,142058,4197372,9/28/20,4603406
251,4777522,142921,4237152,9/29/20,4634601
252,4810935,143952,4274774,9/30/20,4666983
253,4847092,144680,4299659,10/1/20,4702412
254,4847092,144680,4299659,10/2/20,4702412
255,4906833,145987,4361108,10/3/20,4760846
256,4915289,146352,4375354,10/4/20,4768937
257,4927235,146675,4397882,10/5/20,4780560
258,4969141,147494,4430340,10/6/20,4821647
259,5000694,148228,4457172,10/7/20,4852466
260,5028444,148957,4488092,10/8/20,4879487
261,5055888,149639,4502854,10/9/20,4906249
262,5082637,150198,4502854,10/10/20,4932439
263,5094979,150488,4526393,10/11/20,4944491
264,5103408,150689,4526393,10/12/20,4952719
265,5113628,150998,4526393,10/13/20,4962630
