"Category","Confirmados","Óbitos"
"06/03/2020",1,0
"07/03/2020",2,0
"08/03/2020",2,0
"09/03/2020",2,0
"10/03/2020",2,0
"11/03/2020",3,0
"12/03/2020",3,0
"13/03/2020",7,0
"14/03/2020",7,0
"15/03/2020",9,0
"16/03/2020",10,0
"17/03/2020",14,0
"18/03/2020",27,0
"19/03/2020",31,0
"20/03/2020",34,0
"21/03/2020",41,0
"22/03/2020",55,0
"23/03/2020",63,0
"24/03/2020",79,0
"25/03/2020",91,0
"26/03/2020",108,0
"27/03/2020",123,0
"28/03/2020",127,0
"29/03/2020",156,1
"30/03/2020",176,2
"31/03/2020",217,2
"01/04/2020",246,2
"02/04/2020",267,3
"03/04/2020",290,6
"04/04/2020",336,7
"05/04/2020",401,9
"06/04/2020",437,10
"07/04/2020",462,14
"08/04/2020",515,18
"09/04/2020",568,19
"10/04/2020",616,19
"11/04/2020",640,21
"12/04/2020",674,21
"13/04/2020",723,22
"14/04/2020",776,26
"15/04/2020",884,28
"16/04/2020",967,34
"17/04/2020",1064,36
"18/04/2020",1200,40
"19/04/2020",1249,45
"20/04/2020",1377,47
"21/04/2020",1504,48
"22/04/2020",1645,53
"23/04/2020",1845,62
"24/04/2020",1979,67
"25/04/2020",2116,72
"26/04/2020",2248,74
"27/04/2020",2356,83
"28/04/2020",2564,93
"29/04/2020",2676,100
"30/04/2020",2867,106
"01/05/2020",3140,117
"02/05/2020",3315,123
"03/05/2020",3566,128
"04/05/2020",3734,141
"05/05/2020",4040,146
"06/05/2020",4301,160
"07/05/2020",4528,165
"08/05/2020",4818,183
"09/05/2020",5174,196
"10/05/2020",5558,202
"11/05/2020",5808,214
"12/05/2020",6204,225
"13/05/2020",6547,236
"14/05/2020",6955,262
"15/05/2020",8128,281
"16/05/2020",8314,286
"17/05/2020",8443,295
"18/05/2020",8881,312
"19/05/2020",11013,326
"20/05/2020",11197,362
"21/05/2020",11941,376
"22/05/2020",12557,399
"23/05/2020",13000,413
"24/05/2020",13899,460
"25/05/2020",14204,477
"26/05/2020",14566,495
"27/05/2020",15070,531
"28/05/2020",15963,570
"29/05/2020",16917,609
"30/05/2020",17626,638
"31/05/2020",18392,667
"01/06/2020",18898,701
"02/06/2020",21430,736
"03/06/2020",22451,762
"04/06/2020",23463,790
"05/06/2020",26419,819
"06/06/2020",27396,846
"07/06/2020",28250,879
"08/06/2020",28715,910
"09/06/2020",30481,937
"10/06/2020",32685,975
"11/06/2020",33891,1013
"12/06/2020",34665,1039
"13/06/2020",35788,1069
"14/06/2020",36401,1105
"15/06/2020",37620,1145
"16/06/2020",39206,1181
"17/06/2020",40926,1222
"18/06/2020",41577,1263
"19/06/2020",43922,1305
"20/06/2020",45304,1350
"21/06/2020",46279,1391
"22/06/2020",47086,1441
"23/06/2020",49084,1491
"24/06/2020",51931,1541
"25/06/2020",54291,1601
"26/06/2020",56422,1642
"27/06/2020",65244,1697
"28/06/2020",68495,1748
"29/06/2020",69467,1800
"30/06/2020",73307,1853
"01/07/2020",76485,1902
"02/07/2020",79349,1947
"03/07/2020",82314,2001
"04/07/2020",85485,2050
"05/07/2020",87048,2107
"06/07/2020",88279,2168
"07/07/2020",91954,2216
"08/07/2020",95536,2277
"09/07/2020",98319,2328
"10/07/2020",101186,2383
"11/07/2020",104188,2436
"12/07/2020",105763,2483
"13/07/2020",106891,2535
"14/07/2020",110029,2584
"15/07/2020",112993,2638
"16/07/2020",116373,2693
"17/07/2020",118657,2738
"18/07/2020",120238,2793
"19/07/2020",122169,2840
"20/07/2020",123292,2891
"21/07/2020",126844,2936
