"cidade","geocodigo","day","confirmados_acumulados","obitos_acumulados","confirmados_dia","obitos_dia"
"Abaíra",2900108,"2020-04-13",1,0,1,0
"Abaíra",2900108,"2020-04-14",1,0,0,0
"Abaíra",2900108,"2020-04-15",1,0,0,0
"Abaíra",2900108,"2020-04-16",1,0,0,0
"Abaíra",2900108,"2020-04-17",1,0,0,0
"Abaíra",2900108,"2020-04-18",1,0,0,0
"Abaíra",2900108,"2020-04-19",1,0,0,0
"Abaíra",2900108,"2020-04-20",1,0,0,0
"Abaíra",2900108,"2020-04-21",1,0,0,0
"Abaíra",2900108,"2020-04-22",1,0,0,0
"Abaíra",2900108,"2020-04-23",1,0,0,0
"Abaíra",2900108,"2020-04-24",1,0,0,0
"Abaíra",2900108,"2020-04-25",1,0,0,0
"Abaíra",2900108,"2020-04-26",1,0,0,0
"Abaíra",2900108,"2020-04-27",1,0,0,0
"Abaíra",2900108,"2020-04-28",1,0,0,0
"Abaíra",2900108,"2020-04-29",1,0,0,0
"Abaíra",2900108,"2020-04-30",1,0,0,0
"Abaíra",2900108,"2020-05-01",1,0,0,0
"Abaíra",2900108,"2020-05-02",1,0,0,0
"Abaíra",2900108,"2020-05-03",1,0,0,0
"Abaíra",2900108,"2020-05-04",4,0,3,0
"Abaíra",2900108,"2020-05-05",4,0,0,0
"Abaíra",2900108,"2020-05-06",4,0,0,0
"Abaíra",2900108,"2020-05-07",4,0,0,0
"Abaíra",2900108,"2020-05-08",4,0,0,0
"Abaíra",2900108,"2020-05-09",4,0,0,0
"Abaíra",2900108,"2020-05-10",4,0,0,0
"Abaíra",2900108,"2020-05-11",4,0,0,0
"Abaíra",2900108,"2020-05-12",4,0,0,0
"Abaíra",2900108,"2020-05-13",4,0,0,0
"Abaíra",2900108,"2020-05-14",4,0,0,0
"Abaíra",2900108,"2020-05-15",5,0,1,0
"Abaíra",2900108,"2020-05-16",5,0,0,0
"Abaíra",2900108,"2020-05-17",4,0,-1,0
"Abaíra",2900108,"2020-05-18",4,0,0,0
"Abaíra",2900108,"2020-05-19",4,0,0,0
"Abaíra",2900108,"2020-05-20",4,0,0,0
"Abaíra",2900108,"2020-05-21",4,0,0,0
"Abaíra",2900108,"2020-05-22",4,0,0,0
"Abaíra",2900108,"2020-05-23",5,0,1,0
"Abaíra",2900108,"2020-05-24",5,0,0,0
"Abaíra",2900108,"2020-05-25",5,0,0,0
"Abaíra",2900108,"2020-05-26",4,0,-1,0
"Abaíra",2900108,"2020-05-27",4,0,0,0
"Abaíra",2900108,"2020-05-28",4,0,0,0
"Abaíra",2900108,"2020-05-29",4,0,0,0
"Abaíra",2900108,"2020-05-30",4,0,0,0
"Abaíra",2900108,"2020-05-31",4,0,0,0
"Abaíra",2900108,"2020-06-01",4,0,0,0
"Abaíra",2900108,"2020-06-02",4,0,0,0
"Abaíra",2900108,"2020-06-03",4,0,0,0
