"Category","Bahia"
"06/03/2020",1
"07/03/2020",1
"08/03/2020",0
"09/03/2020",0
"10/03/2020",0
"11/03/2020",1
"12/03/2020",0
"13/03/2020",4
"14/03/2020",0
"15/03/2020",2
"16/03/2020",1
"17/03/2020",4
"18/03/2020",13
"19/03/2020",4
"20/03/2020",3
"21/03/2020",7
"22/03/2020",14
"23/03/2020",8
"24/03/2020",16
"25/03/2020",12
"26/03/2020",17
"27/03/2020",15
"28/03/2020",4
"29/03/2020",29
"30/03/2020",20
"31/03/2020",41
"01/04/2020",29
"02/04/2020",21
"03/04/2020",23
"04/04/2020",46
"05/04/2020",65
"06/04/2020",36
"07/04/2020",25
"08/04/2020",53
"09/04/2020",53
"10/04/2020",48
"11/04/2020",24
"12/04/2020",34
"13/04/2020",49
"14/04/2020",53
"15/04/2020",108
"16/04/2020",83
"17/04/2020",97
"18/04/2020",136
"19/04/2020",49
"20/04/2020",128
"21/04/2020",127
"22/04/2020",141
"23/04/2020",200
"24/04/2020",134
"25/04/2020",137
"26/04/2020",132
"27/04/2020",108
"28/04/2020",208
"29/04/2020",112
"30/04/2020",191
"01/05/2020",273
"02/05/2020",175
"03/05/2020",251
"04/05/2020",168
"05/05/2020",306
"06/05/2020",261
"07/05/2020",227
"08/05/2020",290
"09/05/2020",356
"10/05/2020",384
"11/05/2020",250
"12/05/2020",396
"13/05/2020",343
"14/05/2020",408
"15/05/2020",1173
"16/05/2020",186
"17/05/2020",129
"18/05/2020",438
"19/05/2020",2132
"20/05/2020",184
"21/05/2020",744
"22/05/2020",616
"23/05/2020",443
"24/05/2020",899
"25/05/2020",305
"26/05/2020",362
"27/05/2020",504
"28/05/2020",893
"29/05/2020",954
"30/05/2020",709
"31/05/2020",766
"01/06/2020",506
"02/06/2020",2532
"03/06/2020",1021
"04/06/2020",1012
"05/06/2020",2956
"06/06/2020",977
"07/06/2020",854
"08/06/2020",465
"09/06/2020",1766
"10/06/2020",2204
"11/06/2020",1206
"12/06/2020",774
"13/06/2020",1123
"14/06/2020",613
"15/06/2020",1219
"16/06/2020",1586
"17/06/2020",1720
"18/06/2020",651
"19/06/2020",2345
"20/06/2020",1382
"21/06/2020",975
"22/06/2020",807
"23/06/2020",1998
"24/06/2020",2847
"25/06/2020",2360
"26/06/2020",2131
"27/06/2020",8822
"28/06/2020",3251
"29/06/2020",972
"30/06/2020",3840
"01/07/2020",3178
"02/07/2020",2864
"03/07/2020",2965
"04/07/2020",3171
"05/07/2020",1563
"06/07/2020",1231
"07/07/2020",3675
"08/07/2020",3582
"09/07/2020",2783
"10/07/2020",2867
"11/07/2020",3002
"12/07/2020",1575
"13/07/2020",1128
"14/07/2020",3138
"15/07/2020",2964
"16/07/2020",3380
"17/07/2020",2284
"18/07/2020",1581
"19/07/2020",1931
"20/07/2020",1123
"21/07/2020",3552
"22/07/2020",6401
"23/07/2020",5113
"24/07/2020",4409
"25/07/2020",3632
"26/07/2020",1780
"27/07/2020",930
"28/07/2020",4204
"29/07/2020",4021
"30/07/2020",4296
"31/07/2020",4524
"01/08/2020",2772
"02/08/2020",1550
"03/08/2020",915
"04/08/2020",3998
"05/08/2020",4348
"06/08/2020",3953
"07/08/2020",4202
"08/08/2020",3509
"09/08/2020",1628
"10/08/2020",1068
"11/08/2020",4670
"12/08/2020",4253
"13/08/2020",3935
"14/08/2020",4038
"15/08/2020",3386
"16/08/2020",1651
"17/08/2020",1085
"18/08/2020",3926
"19/08/2020",3618
"20/08/2020",3937
"21/08/2020",1147
"22/08/2020",4461
"23/08/2020",1846
"24/08/2020",1158
"25/08/2020",3731
"26/08/2020",4082
"27/08/2020",2832
"28/08/2020",3124
"29/08/2020",3813
"30/08/2020",1272
"31/08/2020",665
"01/09/2020",2691
"02/09/2020",2881
"03/09/2020",3440
"04/09/2020",2398
"05/09/2020",2040
"06/09/2020",1078
"07/09/2020",708
"08/09/2020",851
"09/09/2020",2274
"10/09/2020",2239
"11/09/2020",2182
"12/09/2020",2156
"13/09/2020",852
"14/09/2020",718
"15/09/2020",2213
"16/09/2020",2237
"17/09/2020",1970
"18/09/2020",2364
"19/09/2020",2191
"20/09/2020",1093
"21/09/2020",693
"22/09/2020",1809
"23/09/2020",1610
"24/09/2020",1833
"25/09/2020",1810
"26/09/2020",2128
"27/09/2020",850
"28/09/2020",593
"29/09/2020",1623
"30/09/2020",2274
"01/10/2020",1524
"02/10/2020",1354
"03/10/2020",1307
"04/10/2020",729
"05/10/2020",565
"06/10/2020",2142
"07/10/2020",1834
"08/10/2020",1817
"09/10/2020",1412
"10/10/2020",1754
"11/10/2020",993
"12/10/2020",677
"13/10/2020",693
"14/10/2020",2460
"15/10/2020",1575
"16/10/2020",1536
"17/10/2020",1799
"18/10/2020",654
"19/10/2020",881
"20/10/2020",1762
"21/10/2020",1221
"22/10/2020",1450
"23/10/2020",1861
"24/10/2020",1488
"25/10/2020",691
"26/10/2020",1244
"27/10/2020",1772
"28/10/2020",1990
"29/10/2020",1566
"30/10/2020",1423
"31/10/2020",457
"01/11/2020",886
"02/11/2020",533
"03/11/2020",407
"04/11/2020",770
"05/11/2020",3377
"06/11/2020",2006
"07/11/2020",1427
"08/11/2020",583
"09/11/2020",840
"10/11/2020",1955
"11/11/2020",1728
"12/11/2020",1590
"13/11/2020",2119
"14/11/2020",1349
"15/11/2020",1282
"16/11/2020",712
"17/11/2020",653
