"Category","Bahia"
"06/03/2020",0
"07/03/2020",0
"08/03/2020",0
"09/03/2020",0
"10/03/2020",0
"11/03/2020",0
"12/03/2020",0
"13/03/2020",0
"14/03/2020",0
"15/03/2020",0
"16/03/2020",0
"17/03/2020",0
"18/03/2020",0
"19/03/2020",0
"20/03/2020",0
"21/03/2020",0
"22/03/2020",0
"23/03/2020",0
"24/03/2020",0
"25/03/2020",0
"26/03/2020",0
"27/03/2020",0
"28/03/2020",0
"29/03/2020",1
"30/03/2020",2
"31/03/2020",2
"01/04/2020",2
"02/04/2020",3
"03/04/2020",6
"04/04/2020",7
"05/04/2020",9
"06/04/2020",10
"07/04/2020",14
"08/04/2020",18
"09/04/2020",19
"10/04/2020",19
"11/04/2020",21
"12/04/2020",21
"13/04/2020",22
"14/04/2020",26
"15/04/2020",28
"16/04/2020",34
"17/04/2020",36
"18/04/2020",40
"19/04/2020",45
"20/04/2020",47
"21/04/2020",48
"22/04/2020",53
"23/04/2020",62
"24/04/2020",67
"25/04/2020",72
"26/04/2020",74
"27/04/2020",83
"28/04/2020",93
"29/04/2020",100
"30/04/2020",106
"01/05/2020",117
"02/05/2020",123
"03/05/2020",128
"04/05/2020",141
"05/05/2020",146
"06/05/2020",160
"07/05/2020",165
"08/05/2020",183
"09/05/2020",196
"10/05/2020",202
"11/05/2020",214
"12/05/2020",225
"13/05/2020",236
"14/05/2020",262
"15/05/2020",281
"16/05/2020",286
"17/05/2020",295
"18/05/2020",312
"19/05/2020",326
"20/05/2020",362
"21/05/2020",376
"22/05/2020",399
"23/05/2020",413
"24/05/2020",460
"25/05/2020",477
"26/05/2020",495
"27/05/2020",531
"28/05/2020",570
"29/05/2020",609
"30/05/2020",638
"31/05/2020",667
"01/06/2020",701
"02/06/2020",736
"03/06/2020",762
"04/06/2020",790
"05/06/2020",819
"06/06/2020",846
"07/06/2020",879
"08/06/2020",910
"09/06/2020",937
"10/06/2020",975
"11/06/2020",1013
"12/06/2020",1039
"13/06/2020",1069
"14/06/2020",1105
"15/06/2020",1145
"16/06/2020",1181
"17/06/2020",1222
"18/06/2020",1263
"19/06/2020",1305
"20/06/2020",1350
"21/06/2020",1391
"22/06/2020",1441
"23/06/2020",1491
"24/06/2020",1541
"25/06/2020",1601
"26/06/2020",1642
"27/06/2020",1697
"28/06/2020",1748
"29/06/2020",1800
"30/06/2020",1853
"01/07/2020",1902
"02/07/2020",1947
"03/07/2020",2001
"04/07/2020",2050
"05/07/2020",2107
"06/07/2020",2168
"07/07/2020",2216
"08/07/2020",2277
"09/07/2020",2328
"10/07/2020",2383
"11/07/2020",2436
"12/07/2020",2483
"13/07/2020",2535
"14/07/2020",2584
"15/07/2020",2638
"16/07/2020",2693
"17/07/2020",2738
"18/07/2020",2793
"19/07/2020",2840
"20/07/2020",2891
"21/07/2020",2936
"22/07/2020",2988
"23/07/2020",3044
"24/07/2020",3096
"25/07/2020",3140
"26/07/2020",3182
"27/07/2020",3227
"28/07/2020",3270
"29/07/2020",3321
"30/07/2020",3391
"31/07/2020",3463
"01/08/2020",3517
"02/08/2020",3572
"03/08/2020",3624
"04/08/2020",3678
"05/08/2020",3736
"06/08/2020",3789
"07/08/2020",3843
"08/08/2020",3899
"09/08/2020",3953
"10/08/2020",4011
"11/08/2020",4067
"12/08/2020",4104
"13/08/2020",4202
"14/08/2020",4271
"15/08/2020",4338
"16/08/2020",4406
"17/08/2020",4475
"18/08/2020",4542
"19/08/2020",4611
"20/08/2020",4685
"21/08/2020",4757
"22/08/2020",4832
"23/08/2020",4905
"24/08/2020",4981
"25/08/2020",5051
"26/08/2020",5116
"27/08/2020",5178
"28/08/2020",5243
"29/08/2020",5302
"30/08/2020",5344
"31/08/2020",5397
"01/09/2020",5448
"02/09/2020",5502
"03/09/2020",5549
"04/09/2020",5590
"05/09/2020",5627
"06/09/2020",5658
"07/09/2020",5693
"08/09/2020",5734
"09/09/2020",5774
"10/09/2020",5818
"11/09/2020",5866
"12/09/2020",5912
"13/09/2020",5961
"14/09/2020",5999
"15/09/2020",6040
"16/09/2020",6085
"17/09/2020",6132
"18/09/2020",6181
"19/09/2020",6221
"20/09/2020",6265
"21/09/2020",6313
"22/09/2020",6359
"23/09/2020",6408
"24/09/2020",6455
"25/09/2020",6503
"26/09/2020",6552
"27/09/2020",6599
"28/09/2020",6648
"29/09/2020",6697
"30/09/2020",6744
"01/10/2020",6795
"02/10/2020",6844
"03/10/2020",6890
"04/10/2020",6925
"05/10/2020",6953
"06/10/2020",6985
"07/10/2020",7021
"08/10/2020",7049
"09/10/2020",7075
"10/10/2020",7099
"11/10/2020",7128
"12/10/2020",7159
"13/10/2020",7188
"14/10/2020",7214
"15/10/2020",7243
"16/10/2020",7267
"17/10/2020",7288
"18/10/2020",7316
"19/10/2020",7342
"20/10/2020",7363
"21/10/2020",7384
"22/10/2020",7407
"23/10/2020",7432
"24/10/2020",7453
"25/10/2020",7475
"26/10/2020",7497
"27/10/2020",7519
"28/10/2020",7546
"29/10/2020",7571
"30/10/2020",7600
"31/10/2020",7622
"01/11/2020",7645
"02/11/2020",7667
"03/11/2020",7690
"04/11/2020",7711
"05/11/2020",7731
"06/11/2020",7754
"07/11/2020",7776
"08/11/2020",7796
"09/11/2020",7818
"10/11/2020",7838
"11/11/2020",7859
"12/11/2020",7882
"13/11/2020",7902
"14/11/2020",7922
"15/11/2020",7943
"16/11/2020",7967
"17/11/2020",7989
