"Category","Bahia"
"06/03/2020",0
"07/03/2020",0
"08/03/2020",0
"09/03/2020",0
"10/03/2020",0
"11/03/2020",0
"12/03/2020",0
"13/03/2020",0
"14/03/2020",0
"15/03/2020",0
"16/03/2020",0
"17/03/2020",0
"18/03/2020",0
"19/03/2020",0
"20/03/2020",0
"21/03/2020",0
"22/03/2020",0
"23/03/2020",0
"24/03/2020",0
"25/03/2020",0
"26/03/2020",0
"27/03/2020",0
"28/03/2020",0
"29/03/2020",1
"30/03/2020",1
"31/03/2020",0
"01/04/2020",0
"02/04/2020",1
"03/04/2020",3
"04/04/2020",1
"05/04/2020",2
"06/04/2020",1
"07/04/2020",4
"08/04/2020",4
"09/04/2020",1
"10/04/2020",0
"11/04/2020",2
"12/04/2020",0
"13/04/2020",1
"14/04/2020",4
"15/04/2020",2
"16/04/2020",6
"17/04/2020",2
"18/04/2020",4
"19/04/2020",5
"20/04/2020",2
"21/04/2020",1
"22/04/2020",5
"23/04/2020",9
"24/04/2020",5
"25/04/2020",5
"26/04/2020",2
"27/04/2020",9
"28/04/2020",10
"29/04/2020",7
"30/04/2020",6
"01/05/2020",11
"02/05/2020",6
"03/05/2020",5
"04/05/2020",13
"05/05/2020",5
"06/05/2020",14
"07/05/2020",5
"08/05/2020",18
"09/05/2020",13
"10/05/2020",6
"11/05/2020",12
"12/05/2020",11
"13/05/2020",11
"14/05/2020",26
"15/05/2020",19
"16/05/2020",5
"17/05/2020",9
"18/05/2020",17
"19/05/2020",14
"20/05/2020",36
"21/05/2020",14
"22/05/2020",23
"23/05/2020",14
"24/05/2020",47
"25/05/2020",17
"26/05/2020",18
"27/05/2020",36
"28/05/2020",39
"29/05/2020",39
"30/05/2020",29
"31/05/2020",29
"01/06/2020",34
"02/06/2020",35
"03/06/2020",26
"04/06/2020",28
"05/06/2020",29
"06/06/2020",27
"07/06/2020",33
"08/06/2020",31
"09/06/2020",27
"10/06/2020",38
"11/06/2020",38
"12/06/2020",26
"13/06/2020",30
"14/06/2020",36
"15/06/2020",40
"16/06/2020",36
"17/06/2020",41
"18/06/2020",41
"19/06/2020",42
"20/06/2020",45
"21/06/2020",41
"22/06/2020",50
"23/06/2020",50
"24/06/2020",50
"25/06/2020",60
"26/06/2020",41
"27/06/2020",55
"28/06/2020",51
"29/06/2020",52
"30/06/2020",53
"01/07/2020",49
"02/07/2020",45
"03/07/2020",54
"04/07/2020",49
"05/07/2020",57
"06/07/2020",61
"07/07/2020",48
"08/07/2020",61
"09/07/2020",51
"10/07/2020",55
"11/07/2020",53
"12/07/2020",47
"13/07/2020",52
"14/07/2020",49
"15/07/2020",54
"16/07/2020",55
"17/07/2020",45
"18/07/2020",55
"19/07/2020",47
"20/07/2020",51
"21/07/2020",45
"22/07/2020",52
"23/07/2020",56
"24/07/2020",52
"25/07/2020",44
"26/07/2020",42
"27/07/2020",45
"28/07/2020",43
"29/07/2020",51
"30/07/2020",70
"31/07/2020",72
"01/08/2020",54
"02/08/2020",55
"03/08/2020",52
"04/08/2020",54
"05/08/2020",58
"06/08/2020",53
"07/08/2020",54
"08/08/2020",56
"09/08/2020",54
"10/08/2020",58
"11/08/2020",56
"12/08/2020",37
"13/08/2020",98
"14/08/2020",69
"15/08/2020",67
"16/08/2020",68
"17/08/2020",69
"18/08/2020",67
"19/08/2020",69
"20/08/2020",74
"21/08/2020",72
"22/08/2020",75
"23/08/2020",73
"24/08/2020",76
"25/08/2020",70
"26/08/2020",65
"27/08/2020",62
"28/08/2020",65
"29/08/2020",59
"30/08/2020",42
"31/08/2020",53
"01/09/2020",51
"02/09/2020",54
"03/09/2020",47
"04/09/2020",41
"05/09/2020",37
"06/09/2020",31
"07/09/2020",35
"08/09/2020",41
"09/09/2020",40
"10/09/2020",44
"11/09/2020",48
"12/09/2020",46
"13/09/2020",49
"14/09/2020",38
"15/09/2020",41
"16/09/2020",45
"17/09/2020",47
"18/09/2020",49
"19/09/2020",40
"20/09/2020",44
"21/09/2020",48
"22/09/2020",46
"23/09/2020",49
"24/09/2020",47
"25/09/2020",48
"26/09/2020",49
"27/09/2020",47
"28/09/2020",49
"29/09/2020",49
"30/09/2020",47
"01/10/2020",51
"02/10/2020",49
"03/10/2020",46
"04/10/2020",35
"05/10/2020",28
"06/10/2020",32
"07/10/2020",36
"08/10/2020",28
"09/10/2020",26
"10/10/2020",24
"11/10/2020",29
"12/10/2020",31
"13/10/2020",29
"14/10/2020",26
"15/10/2020",29
"16/10/2020",24
"17/10/2020",21
"18/10/2020",28
"19/10/2020",26
"20/10/2020",21
"21/10/2020",21
"22/10/2020",23
"23/10/2020",25
"24/10/2020",21
"25/10/2020",22
"26/10/2020",22
"27/10/2020",22
"28/10/2020",27
"29/10/2020",25
"30/10/2020",29
"31/10/2020",22
"01/11/2020",23
"02/11/2020",22
"03/11/2020",23
"04/11/2020",21
"05/11/2020",20
"06/11/2020",23
"07/11/2020",22
"08/11/2020",20
"09/11/2020",22
"10/11/2020",20
"11/11/2020",21
"12/11/2020",23
"13/11/2020",20
"14/11/2020",20
"15/11/2020",21
"16/11/2020",24
"17/11/2020",22
