,Index,Município,População,E_PopulEst,Var_bruta,Var_%
0,1,Salvador ,2886698,19.41,14351,0.50
1,2,Feira de Santana ,619609,4.17,4737,0.77
2,3,Vitória da Conquista ,341128,2.29,-469,-0.14
3,4,Camaçari ,304302,2.05,5170,1.73
4,5,Juazeiro ,218162,1.47,1455,0.67
5,6,Itabuna ,213685,1.44,462,0.22
6,7,Lauro de Freitas ,201635,1.36,3195,1.61
7,8,Teixeira de Freitas ,162438,1.09,1951,1.22
8,9,Ilhéus ,159923,1.08,-2404,-1.48
9,10,Barreiras ,156975,1.06,1536,0.99
10,11,Jequié ,156126,1.05,160,0.10
11,12,Alagoinhas ,152327,1.02,731,0.48
12,13,Porto Seguro ,150658,1.01,1972,1.33
13,14,Simões Filho ,135783,0.91,1406,1.05
14,15,Paulo Afonso ,118516,0.80,734,0.62
15,16,Eunápolis ,114396,0.77,1016,0.90
16,17,Santo Antônio de Jesus ,102380,0.69,868,0.86
17,18,Valença ,97233,0.65,671,0.69
18,19,Luís Eduardo Magalhães ,90162,0.61,2643,3.02
19,20,Candeias ,87458,0.59,382,0.44
20,21,Guanambi ,84928,0.57,447,0.53
21,22,Dias d'Ávila ,82432,0.55,1343,1.66
22,23,Serrinha ,81286,0.55,425,0.53
23,24,Jacobina ,80635,0.54,117,0.15
24,25,Senhor do Bonfim ,79424,0.53,409,0.52
25,26,Itapetinga ,76795,0.52,648,0.85
26,27,Irecê ,73524,0.49,557,0.76
27,28,Casa Nova ,72545,0.49,576,0.80
28,29,Campo Formoso ,71487,0.48,281,0.39
29,30,Bom Jesus da Lapa ,69662,0.47,514,0.74
30,31,Brumado ,67335,0.45,140,0.21
31,32,Conceição do Coité ,67013,0.45,401,0.60
32,33,Itaberaba ,64646,0.43,157,0.24
33,34,Itamaraju ,64455,0.43,-31,-0.05
34,35,Cruz das Almas ,63591,0.43,352,0.56
35,36,Euclides da Cunha ,60858,0.41,273,0.45
36,37,Santo Amaro ,60131,0.40,62,0.10
37,38,Ipirá ,59435,0.40,-160,-0.27
38,39,Catu ,54970,0.37,266,0.49
39,40,Jaguaquara ,54673,0.37,250,0.46
40,41,Araci ,54648,0.37,269,0.49
41,42,Ribeira do Pombal ,53956,0.36,149,0.28
42,43,Barra ,53910,0.36,332,0.62
43,44,Santo Estêvão ,53269,0.36,419,0.79
44,45,Caetité ,51081,0.34,106,0.21
45,46,Tucano ,50798,0.34,111,0.22
46,47,Macaúbas ,50161,0.34,335,0.67
47,48,Monte Santo ,49278,0.33,-140,-0.28
48,49,Mata de São João ,47126,0.32,543,1.17
49,50,Poções ,46879,0.32,8,0.02
50,51,Xique-Xique ,46523,0.31,40,0.09
51,52,Livramento de Nossa Senhora ,46062,0.31,330,0.72
52,53,Ipiaú ,45922,0.31,49,0.11
53,54,Maragogipe ,44793,0.30,116,0.26
54,55,São Sebastião do Passé ,44430,0.30,130,0.29
55,56,Seabra ,44234,0.30,143,0.32
56,57,Nova Viçosa ,43783,0.29,407,0.94
57,58,Vera Cruz ,43716,0.29,493,1.14
58,59,Mucuri ,42251,0.28,503,1.20
59,60,Entre Rios ,41901,0.28,121,0.29
60,61,Remanso ,41170,0.28,162,0.40
61,62,Sento Sé ,40989,0.28,305,0.75
62,63,Rio Real ,40976,0.28,244,0.60
63,64,Jeremoabo ,40651,0.27,188,0.46
64,65,Inhambupe ,40333,0.27,407,1.02
65,66,São Francisco do Conde ,40245,0.27,443,1.11
66,67,Pojuca ,39972,0.27,453,1.15
67,68,Santa Maria da Vitória ,39775,0.27,-70,-0.18
68,69,São Gonçalo dos Campos ,37942,0.26,392,1.04
69,70,Esplanada ,37578,0.25,341,0.92
70,71,Santaluz ,37531,0.25,183,0.49
71,72,Amargosa ,37441,0.25,200,0.54
72,73,Itiúba ,36116,0.24,27,0.07
73,74,Itapicuru ,35883,0.24,307,0.86
74,75,Riacho de Santana ,35593,0.24,172,0.49
75,76,Morro do Chapéu ,35440,0.24,27,0.08
76,77,Camamu ,35382,0.24,66,0.19
77,78,Pilão Arcado ,35175,0.24,127,0.36
78,79,Curaçá ,34886,0.23,186,0.54
79,80,Cansanção ,34882,0.23,48,0.14
80,81,São Desidério ,34266,0.23,524,1.55
81,82,Jaguarari ,33746,0.23,176,0.52
82,83,Cachoeira ,33567,0.23,97,0.29
