Posição 	Município 	População 	Equ_popEst 	Var_bruta 	Var_percentual
1 	Salvador 	2 886 698 	19   .41   	14 351 	  0   .50  
2 	Feira de Santana 	619 609 	4   .17   	4 737 	  0   .77  
3 	Vitória da Conquista 	341 128 	2   .29   	-469 	    -0   .14  
4 	Camaçari 	304 302 	2   .05   	5 170 	  1   .73  
5 	Juazeiro 	218 162 	1   .47   	1 455 	  0   .67  
6 	Itabuna 	213 685 	1   .44   	462 	  0   .22  
7 	Lauro de Freitas 	201 635 	1   .36   	3 195 	  1   .61  
8 	Teixeira de Freitas 	162 438 	1   .09   	1 951 	  1   .22  
9 	Ilhéus 	159 923 	1   .08   	-2 404 	    -1   .48  
10 	Barreiras 	156 975 	1   .06   	1 536 	  0   .99  
11 	Jequié 	156 126 	1   .05   	160 	  0   .10  
12 	Alagoinhas 	152 327 	1   .02   	731 	  0   .48  
13 	Porto Seguro 	150 658 	1   .01   	1 972 	  1   .33  
14 	Simões Filho 	135 783 	0   .91   	1 406 	  1   .05  
15 	Paulo Afonso 	118 516 	0   .80   	734 	  0   .62  
16 	Eunápolis 	114 396 	0   .77   	1 016 	  0   .90  
17 	Santo Antônio de Jesus 	102 380 	0   .69   	868 	  0   .86  
18 	Valença 	97 233 	0   .65   	671 	  0   .69  
19 	Luís Eduardo Magalhães 	90 162 	0   .61   	2 643 	  3   .02  
20 	Candeias 	87 458 	0   .59   	382 	  0   .44  
21 	Guanambi 	84 928 	0   .57   	447 	  0   .53  
22 	Dias d'Ávila 	82 432 	0   .55   	1 343 	  1   .66  
23 	Serrinha 	81 286 	0   .55   	425 	  0   .53  
24 	Jacobina 	80 635 	0   .54   	117 	  0   .15  
25 	Senhor do Bonfim 	79 424 	0   .53   	409 	  0   .52  
26 	Itapetinga 	76 795 	0   .52   	648 	  0   .85  
27 	Irecê 	73 524 	0   .49   	557 	  0   .76  
28 	Casa Nova 	72 545 	0   .49   	576 	  0   .80  
29 	Campo Formoso 	71 487 	0   .48   	281 	  0   .39  
30 	Bom Jesus da Lapa 	69 662 	0   .47   	514 	  0   .74  
31 	Brumado 	67 335 	0   .45   	140 	  0   .21  
32 	Conceição do Coité 	67 013 	0   .45   	401 	  0   .60  
33 	Itaberaba 	64 646 	0   .43   	157 	  0   .24  
34 	Itamaraju 	64 455 	0   .43   	-31 	    -0   .05  
35 	Cruz das Almas 	63 591 	0   .43   	352 	  0   .56  
36 	Euclides da Cunha 	60 858 	0   .41   	273 	  0   .45  
37 	Santo Amaro 	60 131 	0   .40   	62 	  0   .10  
38 	Ipirá 	59 435 	0   .40   	-160 	    -0   .27  
39 	Catu 	54 970 	0   .37   	266 	  0   .49  
40 	Jaguaquara 	54 673 	0   .37   	250 	  0   .46  
41 	Araci 	54 648 	0   .37   	269 	  0   .49  
42 	Ribeira do Pombal 	53 956 	0   .36   	149 	  0   .28  
43 	Barra 	53 910 	0   .36   	332 	  0   .62  
44 	Santo Estêvão 	53 269 	0   .36   	419 	  0   .79  
45 	Caetité 	51 081 	0   .34   	106 	  0   .21  
46 	Tucano 	50 798 	0   .34   	111 	  0   .22  
47 	Macaúbas 	50 161 	0   .34   	335 	  0   .67  
48 	Monte Santo 	49 278 	0   .33   	-140 	    -0   .28  
49 	Mata de São João 	47 126 	0   .32   	543 	  1   .17  
50 	Poções 	46 879 	0   .32   	8 	  0   .02  
51 	Xique-Xique 	46 523 	0   .31   	40 	  0   .09  
52 	Livramento de Nossa Senhora 	46 062 	0   .31   	330 	  0   .72  
53 	Ipiaú 	45 922 	0   .31   	49 	  0   .11  
54 	Maragogipe 	44 793 	0   .30   	116 	  0   .26  
55 	São Sebastião do Passé 	44 430 	0   .30   	130 	  0   .29  
56 	Seabra 	44 234 	0   .30   	143 	  0   .32  
57 	Nova Viçosa 	43 783 	0   .29   	407 	  0   .94  
58 	Vera Cruz 	43 716 	0   .29   	493 	  1   .14  
59 	Mucuri 	42 251 	0   .28   	503 	  1   .20  
60 	Entre Rios 	41 901 	0   .28   	121 	  0   .29  
