,csv_confirmed,csv_death,csv_recovered,date
0,0,0,0,1/22/20
1,0,0,0,1/23/20
2,0,0,0,1/24/20
3,0,0,0,1/25/20
4,0,0,0,1/26/20
5,0,0,0,1/27/20
6,0,0,0,1/28/20
7,0,0,0,1/29/20
8,0,0,0,1/30/20
9,0,0,0,1/31/20
10,0,0,0,2/1/20
11,0,0,0,2/2/20
12,0,0,0,2/3/20
13,0,0,0,2/4/20
14,0,0,0,2/5/20
15,0,0,0,2/6/20
16,0,0,0,2/7/20
17,0,0,0,2/8/20
18,0,0,0,2/9/20
19,0,0,0,2/10/20
20,0,0,0,2/11/20
21,0,0,0,2/12/20
22,0,0,0,2/13/20
23,0,0,0,2/14/20
24,0,0,0,2/15/20
25,0,0,0,2/16/20
26,0,0,0,2/17/20
27,0,0,0,2/18/20
28,0,0,0,2/19/20
29,0,0,0,2/20/20
30,0,0,0,2/21/20
31,0,0,0,2/22/20
32,0,0,0,2/23/20
33,0,0,0,2/24/20
34,0,0,0,2/25/20
35,1,0,0,2/26/20
36,1,0,0,2/27/20
37,1,0,0,2/28/20
38,2,0,0,2/29/20
39,2,0,0,3/1/20
40,2,0,0,3/2/20
41,2,0,0,3/3/20
42,4,0,0,3/4/20
43,4,0,0,3/5/20
44,13,0,0,3/6/20
45,13,0,0,3/7/20
46,20,0,0,3/8/20
47,25,0,0,3/9/20
48,31,0,0,3/10/20
49,38,0,0,3/11/20
50,52,0,0,3/12/20
51,151,0,0,3/13/20
52,151,0,0,3/14/20
53,162,0,0,3/15/20
54,200,0,1,3/16/20
55,321,1,2,3/17/20
56,372,3,2,3/18/20
57,621,6,2,3/19/20
58,793,11,2,3/20/20
59,1021,15,2,3/21/20
60,1546,25,2,3/22/20
61,1924,34,2,3/23/20
62,2247,46,2,3/24/20
63,2554,59,2,3/25/20
64,2985,77,6,3/26/20
65,3417,92,6,3/27/20
66,3904,111,6,3/28/20
67,4256,136,6,3/29/20
68,4579,159,120,3/30/20
69,5717,201,127,3/31/20
70,6836,240,127,4/1/20
71,8044,324,127,4/2/20
