,Category,Confirmados,Óbitos,recuperados_BA
0,2020-03-06,1,0,0
1,2020-03-07,2,0,2
2,2020-03-08,2,0,1
3,2020-03-09,2,0,1
4,2020-03-10,2,0,0
5,2020-03-11,3,0,1
6,2020-03-12,3,0,1
7,2020-03-13,7,0,2
8,2020-03-14,7,0,2
9,2020-03-15,9,0,3
10,2020-03-16,10,0,3
11,2020-03-17,14,0,3
12,2020-03-18,27,0,9
13,2020-03-19,31,0,5
14,2020-03-20,34,0,0
15,2020-03-21,41,0,0
16,2020-03-22,55,0,-3
17,2020-03-23,63,0,-7
18,2020-03-24,79,0,-12
19,2020-03-25,91,0,-19
20,2020-03-26,108,0,-28
21,2020-03-27,123,0,-35
22,2020-03-28,127,0,-43
23,2020-03-29,156,1,-16
24,2020-03-30,176,2,11
25,2020-03-31,217,2,-9
26,2020-04-01,246,2,-25
27,2020-04-02,267,3,-24
28,2020-04-03,290,6,93
29,2020-04-04,336,7,89
30,2020-04-05,401,9,138
31,2020-04-06,437,10,135
32,2020-04-07,462,14,258
33,2020-04-08,515,18,370
34,2020-04-09,568,19,347
35,2020-04-10,616,19,290
36,2020-04-11,640,21,348
37,2020-04-12,674,21,304
38,2020-04-13,723,22,282
39,2020-04-14,776,26,343
40,2020-04-15,884,28,312
41,2020-04-16,967,34,454
42,2020-04-17,1064,36,430
43,2020-04-18,1200,40,452
44,2020-04-19,1249,45,627
45,2020-04-20,1377,47,598
46,2020-04-21,1504,48,516
47,2020-04-22,1645,53,602
48,2020-04-23,1845,62,684
49,2020-04-24,1979,67,672
50,2020-04-25,2116,72,727
51,2020-04-26,2248,74,684
52,2020-04-27,2356,83,927
53,2020-04-28,2564,93,1066
54,2020-04-29,2676,100,1225
55,2020-04-30,2867,106,1265
56,2020-05-01,3140,117,1410
57,2020-05-02,3315,123,1462
58,2020-05-03,3566,128,1436
59,2020-05-04,3734,141,1898
60,2020-05-05,4040,146,1709
61,2020-05-06,4301,160,2068
62,2020-05-07,4528,165,2020
63,2020-05-08,4818,183,2404
64,2020-05-09,5174,196,2563
65,2020-05-10,5558,202,2412
66,2020-05-11,5808,214,2610
67,2020-05-12,6204,225,2504
68,2020-05-13,6547,236,2600
69,2020-05-14,6955,262,3347
70,2020-05-15,8128,281,3135
71,2020-05-16,8314,286,3211
72,2020-05-17,8443,295,3461
73,2020-05-18,8881,312,3855
74,2020-05-19,11013,326,2552
75,2020-05-20,11197,362,4089
76,2020-05-21,11941,376,3939
77,2020-05-22,12557,399,4515
78,2020-05-23,13000,413,4686
79,2020-05-24,13899,460,6171
80,2020-05-25,14204,477,6509
81,2020-05-26,14566,495,6847
82,2020-05-27,15070,531,7989
83,2020-05-28,15963,570,9133
84,2020-05-29,16917,609,10273
85,2020-05-30,17626,638,11476
86,2020-05-31,18392,667,12421
87,2020-06-01,18898,701,13495
88,2020-06-02,21430,736,13456
89,2020-06-03,22451,762,13883
90,2020-06-04,23463,790,14379
91,2020-06-05,26419,819,14231
92,2020-06-06,27396,846,15045
93,2020-06-07,28250,879,16232
94,2020-06-08,28715,910,17289
95,2020-06-09,30481,937,17576
96,2020-06-10,32685,975,18187
97,2020-06-11,33891,1013,19200
98,2020-06-12,34665,1039,20020
99,2020-06-13,35788,1069,20750
100,2020-06-14,36401,1105,22055
101,2020-06-15,37620,1145,23382
102,2020-06-16,39206,1181,24253
103,2020-06-17,40926,1222,25226
104,2020-06-18,41577,1263,26354
105,2020-06-19,43922,1305,27846
106,2020-06-20,45304,1350,29404
107,2020-06-21,46279,1391,30759
108,2020-06-22,47086,1441,32708
109,2020-06-23,49084,1491,34107
110,2020-06-24,51931,1541,35512
111,2020-06-25,54291,1601,37476
112,2020-06-26,56422,1642,39016
113,2020-06-27,65244,1697,39484
114,2020-06-28,68495,1748,41434
115,2020-06-29,69467,1800,43465
116,2020-06-30,73307,1853,44819
117,2020-07-01,76485,1902,46700
118,2020-07-02,79349,1947,48255
119,2020-07-03,82314,2001,50020
120,2020-07-04,85485,2050,51688
121,2020-07-05,87048,2107,54052
122,2020-07-06,88279,2168,56448
123,2020-07-07,91954,2216,58087
124,2020-07-08,95536,2277,60339
125,2020-07-09,98319,2328,62132
126,2020-07-10,101186,2383,64166
127,2020-07-11,104188,2436,66156
128,2020-07-12,105763,2483,68055
129,2020-07-13,106891,2535,69943
130,2020-07-14,110029,2584,71575
131,2020-07-15,112993,2638,73464
132,2020-07-16,116373,2693,75436
